Geography,Geography Type,Geography Note,Year,Gender,Total Population,Population Aged 0 to 4,Population Aged 5 to 9,Population Aged 10 to 14,Population Aged 15 to 19,Population Aged 20 to 24,Population Aged 25 to 29,Population Aged 30 to 34,Population Aged 35 to 39,Population Aged 40 to 44,Population Aged 45 to 49,Population Aged 50 to 54,Population Aged 55 to 59,Population Aged 60 to 64,Population Aged 65 to 69,Population Aged 70 to 74,Population Aged 75 to 79,Population Aged 80+
St. Brendan's,Community,"This is the Municipality of St. Brendan's. Pending a further review, the 2001 population numbers for St. Brendan's have been removed.",2012,Male,75,,,5,5,5,5,,5,5,5,10,15,5,,5,5,5
St. Brendan's,Community,"This is the Municipality of St. Brendan's. Pending a further review, the 2001 population numbers for St. Brendan's have been removed.",2012,Total,155,5,,5,10,15,,5,5,5,15,30,25,10,5,5,5,10
"St. Bride's, Municipality of",Community,,2010,Female,150,5,5,5,10,10,,5,10,10,15,20,15,5,10,10,5,5
"St. Bride's, Municipality of",Community,,2010,Male,175,,5,5,15,15,5,10,10,10,20,20,15,15,10,5,5,10
"St. Bride's, Municipality of",Community,,2010,Total,325,10,10,15,25,20,5,10,20,20,35,40,35,20,20,15,10,15
"St. Bride's, Municipality of",Community,,2011,Female,145,5,5,,10,10,,5,10,10,15,20,15,5,10,5,,10
"St. Bride's, Municipality of",Community,,2011,Male,165,,5,5,10,10,5,5,10,10,20,20,15,20,10,5,10,5
"St. Bride's, Municipality of",Community,,2011,Total,310,10,10,10,20,20,5,5,20,15,35,40,35,25,20,15,10,15
"St. Bride's, Municipality of",Community,,2012,Female,140,,10,5,10,10,,5,10,5,15,20,15,10,10,5,5,10
"St. Bride's, Municipality of",Community,,2012,Male,160,5,5,5,10,10,10,10,10,10,15,20,15,20,15,5,5,5
"St. Bride's, Municipality of",Community,,2012,Total,300,5,10,5,20,20,5,5,20,15,30,40,35,30,25,10,10,15
"Belleoram, Municipality of",Community,,2010,Female,195,20,15,10,15,10,10,15,20,15,15,20,10,10,5,5,5,5
"Belleoram, Municipality of",Community,,2010,Male,210,10,15,20,15,10,10,10,10,20,20,20,20,10,5,5,5,
"Belleoram, Municipality of",Community,,2010,Total,410,30,25,30,30,25,20,15,30,35,35,40,30,20,15,10,10,5
"Belleoram, Municipality of",Community,,2011,Female,195,20,15,10,15,10,10,15,10,15,15,20,10,10,5,,10,5
"Belleoram, Municipality of",Community,,2011,Male,210,20,15,20,20,5,10,10,10,20,15,20,20,10,5,5,5,
"Belleoram, Municipality of",Community,,2011,Total,410,35,25,30,30,20,20,15,20,40,35,40,35,20,15,5,15,5
"Belleoram, Municipality of",Community,,2012,Female,185,10,15,5,15,15,10,10,15,15,15,15,15,10,5,5,5,10
"Belleoram, Municipality of",Community,,2012,Male,205,15,15,15,20,10,10,5,10,15,15,20,20,10,5,5,5,
"Belleoram, Municipality of",Community,,2012,Total,390,25,25,20,35,25,15,15,25,35,35,35,35,20,10,10,10,5
St. John's,Community,"This is the Municipality of St. John's for 2003 to present. Prior to 2003, St. John's includes most of Logy Bay-Middle Cove-Outer Cove.",2010,Female,54990,2450,2245,2450,3135,4865,4230,3665,3440,3855,4300,4180,3880,3440,2550,1880,1665,2785
St. John's,Community,"This is the Municipality of St. John's for 2003 to present. Prior to 2003, St. John's includes most of Logy Bay-Middle Cove-Outer Cove.",2010,Male,49695,2480,2465,2560,3080,4785,4200,3415,3205,3325,3810,3750,3485,3035,2180,1585,1075,1280
St. John's,Community,"This is the Municipality of St. John's for 2003 to present. Prior to 2003, St. John's includes most of Logy Bay-Middle Cove-Outer Cove.",2010,Total,104690,4925,4705,5005,6215,9650,8430,7080,6640,7180,8115,7935,7355,6470,4730,3465,2740,4070
St. John's,Community,"This is the Municipality of St. John's for 2003 to present. Prior to 2003, St. John's includes most of Logy Bay-Middle Cove-Outer Cove.",2011,Female,55665,2500,2285,2410,3015,4950,4410,3695,3465,3740,4320,4255,3960,3475,2740,1975,1640,2825
St. John's,Community,"This is the Municipality of St. John's for 2003 to present. Prior to 2003, St. John's includes most of Logy Bay-Middle Cove-Outer Cove.",2011,Male,50500,2500,2455,2555,3045,4830,4415,3500,3245,3315,3785,3790,3540,3120,2330,1655,1095,1330
St. John's,Community,"This is the Municipality of St. John's for 2003 to present. Prior to 2003, St. John's includes most of Logy Bay-Middle Cove-Outer Cove.",2011,Total,106170,5000,4740,4960,6060,9780,8825,7195,6710,7060,8110,8045,7495,6595,5070,3630,2735,4160
St. John's,Community,"This is the Municipality of St. John's for 2003 to present. Prior to 2003, St. John's includes most of Logy Bay-Middle Cove-Outer Cove.",2012,Female,55415,2460,2260,2290,2970,4680,4290,3700,3390,3635,4220,4230,4020,3540,2975,2040,1695,3010
St. John's,Community,"This is the Municipality of St. John's for 2003 to present. Prior to 2003, St. John's includes most of Logy Bay-Middle Cove-Outer Cove.",2012,Male,50155,2435,2405,2530,2930,4675,4195,3475,3125,3240,3675,3865,3565,3170,2525,1705,1195,1430
St. John's,Community,"This is the Municipality of St. John's for 2003 to present. Prior to 2003, St. John's includes most of Logy Bay-Middle Cove-Outer Cove.",2012,Total,105580,4895,4660,4815,5905,9350,8490,7175,6510,6880,7895,8100,7580,6710,5500,3750,2895,4440
"St. Lawrence, Municipality of",Community,,2010,Female,660,35,20,30,45,30,40,25,35,55,60,45,50,60,25,35,20,40
"St. Lawrence, Municipality of",Community,,2010,Male,625,40,45,40,45,35,30,30,25,35,55,55,55,45,30,20,20,15
"St. Lawrence, Municipality of",Community,,2010,Total,1285,75,65,70,90,70,75,55,65,90,120,100,110,100,60,55,40,50
"St. Lawrence, Municipality of",Community,,2011,Female,650,30,15,25,50,25,35,35,35,45,60,55,50,60,30,30,20,45
"St. Lawrence, Municipality of",Community,,2011,Male,590,30,40,35,45,30,25,30,20,30,55,55,60,40,35,25,15,15
"St. Lawrence, Municipality of",Community,,2011,Total,1245,65,60,65,95,60,60,60,55,75,120,110,110,100,65,55,35,55
"St. Lawrence, Municipality of",Community,,2012,Female,650,30,20,25,50,30,30,35,35,45,65,55,45,65,30,30,20,45
"St. Lawrence, Municipality of",Community,,2012,Male,585,30,40,35,40,35,25,25,25,35,50,60,55,40,40,25,15,15
"St. Lawrence, Municipality of",Community,,2012,Total,1240,60,65,60,90,70,55,60,60,80,120,110,105,100,70,55,35,60
"St. Lewis, Municipality of",Community,,2010,Female,110,5,,5,10,5,5,5,5,5,10,15,15,15,,5,,
"St. Lewis, Municipality of",Community,,2010,Male,100,5,5,5,10,5,5,5,5,10,5,5,10,10,5,5,5,
"St. Lewis, Municipality of",Community,,2010,Total,205,15,10,10,20,5,10,10,10,20,15,15,20,20,5,5,5,5
"St. Lewis, Municipality of",Community,,2011,Female,105,5,5,10,5,5,5,5,5,5,5,15,15,10,5,5,,
"St. Lewis, Municipality of",Community,,2011,Male,105,5,5,10,15,5,5,5,5,10,10,10,10,15,5,5,,5
"St. Lewis, Municipality of",Community,,2011,Total,205,10,15,15,20,5,5,10,10,15,10,20,20,20,10,5,,5
"St. Lewis, Municipality of",Community,,2012,Female,110,5,5,5,10,5,5,5,5,5,10,15,15,10,5,5,,
"St. Lewis, Municipality of",Community,,2012,Male,120,5,5,10,15,5,5,5,10,10,10,10,10,15,5,5,5,5
"St. Lewis, Municipality of",Community,,2012,Total,230,5,15,15,25,10,5,10,15,15,15,25,20,25,10,5,5,5
"St. Paul's, Municipality of",Community,,2010,Female,125,5,5,10,5,5,5,10,10,10,10,10,10,10,5,5,5,
"St. Paul's, Municipality of",Community,,2010,Male,140,5,10,10,10,10,10,10,10,10,10,10,15,10,10,5,5,
"St. Paul's, Municipality of",Community,,2010,Total,260,10,15,15,20,10,15,20,20,15,25,20,25,15,10,15,10,
"St. Paul's, Municipality of",Community,,2011,Female,130,5,5,10,5,5,5,15,10,10,10,10,15,10,5,5,10,
"St. Paul's, Municipality of",Community,,2011,Male,130,5,10,5,10,10,5,5,10,10,5,15,15,10,10,5,5,
"St. Paul's, Municipality of",Community,,2011,Total,260,5,15,15,20,10,10,20,20,15,15,25,30,15,10,10,10,
"St. Paul's, Municipality of",Community,,2012,Female,130,5,5,5,10,5,5,10,10,15,5,10,15,10,5,5,10,5
"St. Paul's, Municipality of",Community,,2012,Male,120,5,10,5,5,10,5,5,5,10,10,10,15,5,10,10,5,5
"St. Paul's, Municipality of",Community,,2012,Total,250,10,10,10,20,10,10,15,15,25,15,20,30,15,15,10,10,5
"St. Vincent's-St. Stephens-Peter's River, Municipality of",Community,,2010,Female,155,5,5,5,10,,10,5,5,5,15,15,20,10,10,5,10,15
"St. Vincent's-St. Stephens-Peter's River, Municipality of",Community,,2010,Male,185,5,5,10,10,10,5,5,10,15,15,25,25,20,10,15,10,5
"St. Vincent's-St. Stephens-Peter's River, Municipality of",Community,,2010,Total,340,10,15,15,20,10,10,10,15,15,30,40,45,30,20,20,15,15
"St. Vincent's-St. Stephens-Peter's River, Municipality of",Community,,2011,Female,155,5,5,5,10,,5,5,5,10,10,15,25,15,10,10,10,10
"St. Vincent's-St. Stephens-Peter's River, Municipality of",Community,,2011,Male,185,5,5,10,10,10,5,5,5,15,20,20,25,25,10,15,10,5
"St. Vincent's-St. Stephens-Peter's River, Municipality of",Community,,2011,Total,340,10,15,10,20,10,10,10,10,20,30,35,45,35,15,25,15,15
"St. Vincent's-St. Stephens-Peter's River, Municipality of",Community,,2012,Female,150,5,5,,10,5,5,5,5,10,10,15,25,20,10,10,10,10
"St. Vincent's-St. Stephens-Peter's River, Municipality of",Community,,2012,Male,180,5,5,10,5,10,10,5,5,10,20,20,25,25,10,15,10,5
"St. Vincent's-St. Stephens-Peter's River, Municipality of",Community,,2012,Total,335,5,15,10,15,10,15,10,10,15,30,30,50,40,20,25,15,10
"Summerford, Municipality of",Community,,2010,Female,425,20,20,15,20,20,20,20,35,30,30,40,50,45,25,20,5,15
"Summerford, Municipality of",Community,,2010,Male,440,15,10,30,35,20,20,20,30,45,35,30,45,40,30,15,10,5
"Summerford, Municipality of",Community,,2010,Total,865,30,25,45,55,35,40,40,70,75,65,70,90,85,55,35,20,25
"Summerford, Municipality of",Community,,2011,Female,425,20,15,15,20,15,15,20,30,30,30,40,50,45,35,20,5,20
"Summerford, Municipality of",Community,,2011,Male,430,15,5,30,30,20,15,20,30,45,40,35,35,40,30,15,15,5
"Summerford, Municipality of",Community,,2011,Total,855,30,20,45,50,35,35,40,60,75,70,75,80,90,65,35,20,30
"Summerford, Municipality of",Community,,2012,Female,425,20,20,15,15,20,15,20,25,30,35,35,50,45,35,20,10,20
"Summerford, Municipality of",Community,,2012,Male,435,20,10,25,30,20,15,15,30,50,35,35,40,40,35,15,15,5
"Summerford, Municipality of",Community,,2012,Total,860,35,25,45,45,40,30,35,60,80,65,75,85,95,70,35,25,30
"Sunnyside, Trinity Bay, Municipality of",Community,,2010,Female,240,10,10,15,10,15,5,10,25,10,25,15,30,30,20,10,5,5
"Sunnyside, Trinity Bay, Municipality of",Community,,2010,Male,255,10,5,20,15,10,10,10,10,25,15,20,30,25,20,10,10,5
"Sunnyside, Trinity Bay, Municipality of",Community,,2010,Total,495,25,15,35,20,25,15,25,40,35,45,35,55,50,40,20,15,10
"Sunnyside, Trinity Bay, Municipality of",Community,,2011,Female,220,5,10,15,10,10,5,5,15,15,20,15,30,30,20,10,5,5
"Sunnyside, Trinity Bay, Municipality of",Community,,2011,Male,230,5,5,15,15,10,10,10,10,20,15,15,30,20,20,10,5,5
"Sunnyside, Trinity Bay, Municipality of",Community,,2011,Total,450,15,15,30,25,20,15,15,35,35,35,30,55,45,40,20,15,10
"Sunnyside, Trinity Bay, Municipality of",Community,,2012,Female,215,5,10,15,10,10,5,5,10,20,20,20,20,25,20,10,5,10
"Sunnyside, Trinity Bay, Municipality of",Community,,2012,Male,225,5,10,10,15,10,10,10,15,25,15,20,20,25,20,15,5,5
"Sunnyside, Trinity Bay, Municipality of",Community,,2012,Total,445,10,20,25,25,25,10,15,30,40,35,35,40,50,40,25,10,15
"Terrenceville, Municipality of",Community,,2010,Female,260,10,15,10,15,20,15,15,15,15,30,20,15,25,10,20,5,5
"Terrenceville, Municipality of",Community,,2010,Male,275,15,15,15,15,5,15,20,25,15,20,30,25,20,10,10,10,5
"Terrenceville, Municipality of",Community,,2010,Total,535,25,30,25,30,30,30,35,40,30,50,50,45,45,20,30,15,10
"Terrenceville, Municipality of",Community,,2011,Female,250,10,10,10,10,20,10,15,15,15,25,20,20,20,10,20,5,5
"Terrenceville, Municipality of",Community,,2011,Male,280,10,15,15,20,5,15,25,20,20,20,25,30,25,10,10,10,5
"Terrenceville, Municipality of",Community,,2011,Total,530,20,25,25,30,30,25,40,35,35,45,45,50,40,20,30,15,10
"Terrenceville, Municipality of",Community,,2012,Female,255,15,10,10,10,15,15,15,15,15,30,20,20,20,15,20,5,5
"Terrenceville, Municipality of",Community,,2012,Male,280,10,15,15,25,5,10,20,20,25,20,25,30,25,15,10,10,5
"Terrenceville, Municipality of",Community,,2012,Total,530,20,30,20,30,30,30,35,35,40,45,45,55,40,25,30,15,10
"Tilting, Municipality of",Community,This is the locality of Tilting.  For more information see the Municipality of Fogo Island which is represented on Community Accounts as  Local Area 67: Fogo Island.,2010,Female,105,,,5,5,10,5,5,,5,10,15,10,5,5,5,,5
"Tilting, Municipality of",Community,This is the locality of Tilting.  For more information see the Municipality of Fogo Island which is represented on Community Accounts as  Local Area 67: Fogo Island.,2010,Male,110,,5,,5,,5,5,,5,5,10,15,15,10,10,5,5
"Tilting, Municipality of",Community,This is the locality of Tilting.  For more information see the Municipality of Fogo Island which is represented on Community Accounts as  Local Area 67: Fogo Island.,2010,Total,215,,5,5,20,15,10,10,5,10,20,25,30,20,15,15,5,10
"Tilting, Municipality of",Community,This is the locality of Tilting.  For more information see the Municipality of Fogo Island which is represented on Community Accounts as  Local Area 67: Fogo Island.,2011,Female,100,,,,5,5,,,5,5,10,15,10,10,10,5,5,5
"Tilting, Municipality of",Community,This is the locality of Tilting.  For more information see the Municipality of Fogo Island which is represented on Community Accounts as  Local Area 67: Fogo Island.,2011,Male,105,,5,,5,,5,,5,5,5,10,10,20,10,10,5,
"Tilting, Municipality of",Community,This is the locality of Tilting.  For more information see the Municipality of Fogo Island which is represented on Community Accounts as  Local Area 67: Fogo Island.,2011,Total,205,,5,5,15,10,5,5,5,10,20,25,25,30,15,10,10,5
"Tilting, Municipality of",Community,This is the locality of Tilting.  For more information see the Municipality of Fogo Island which is represented on Community Accounts as  Local Area 67: Fogo Island.,2012,Female,95,5,,,5,5,5,5,,5,5,15,10,15,5,5,5,5
"Tilting, Municipality of",Community,This is the locality of Tilting.  For more information see the Municipality of Fogo Island which is represented on Community Accounts as  Local Area 67: Fogo Island.,2012,Male,110,,,5,5,5,5,,,5,10,10,10,20,10,10,5,
"Tilting, Municipality of",Community,This is the locality of Tilting.  For more information see the Municipality of Fogo Island which is represented on Community Accounts as  Local Area 67: Fogo Island.,2012,Total,210,5,5,5,15,10,10,5,5,10,15,25,25,35,15,15,10,10
"Triton, Municipality of",Community,,2010,Female,485,20,20,20,20,15,25,35,40,35,45,50,55,40,25,15,5,15
"Triton, Municipality of",Community,,2010,Male,525,30,35,25,30,25,20,35,40,55,35,45,45,40,25,20,10,5
"Triton, Municipality of",Community,,2010,Total,1015,50,55,50,45,45,35,70,85,95,80,90,105,80,45,35,20,20
"Triton, Municipality of",Community,,2011,Female,475,20,15,25,15,15,20,40,30,45,40,50,50,45,25,20,5,10
"Triton, Municipality of",Community,,2011,Male,520,30,30,30,35,20,20,25,45,50,40,40,45,45,30,15,10,5
"Triton, Municipality of",Community,,2011,Total,1000,50,50,60,45,40,35,60,80,95,75,90,95,85,50,35,20,20
"Triton, Municipality of",Community,,2012,Female,485,20,20,20,20,20,15,35,35,40,35,50,50,45,30,25,10,10
"Triton, Municipality of",Community,,2012,Male,520,30,40,30,35,20,20,25,40,45,40,40,50,50,25,20,15,10
"Triton, Municipality of",Community,,2012,Total,1010,50,60,55,45,40,30,60,80,90,75,85,100,90,55,50,25,20
"Birchy Bay, Municipality of",Community,,2010,Female,290,10,10,15,20,10,10,20,20,25,30,40,15,30,10,5,10,10
"Birchy Bay, Municipality of",Community,,2010,Male,300,15,10,10,30,20,10,15,15,20,35,25,35,25,15,10,5,10
"Birchy Bay, Municipality of",Community,,2010,Total,595,25,20,25,50,25,25,30,35,45,60,70,50,55,25,15,15,20
"Birchy Bay, Municipality of",Community,,2011,Female,275,10,10,15,10,10,10,15,15,25,30,35,20,30,15,5,5,10
"Birchy Bay, Municipality of",Community,,2011,Male,285,10,10,10,30,15,10,10,15,20,30,25,35,30,15,10,5,10
"Birchy Bay, Municipality of",Community,,2011,Total,565,20,20,25,35,25,20,25,30,45,55,65,60,60,30,15,15,15
"Birchy Bay, Municipality of",Community,,2012,Female,270,15,10,15,15,10,10,15,15,25,25,35,25,25,15,10,5,5
"Birchy Bay, Municipality of",Community,,2012,Male,285,10,10,15,25,20,10,15,20,20,30,20,30,25,20,10,5,5
"Birchy Bay, Municipality of",Community,,2012,Total,565,20,20,25,35,30,20,30,30,40,50,60,60,50,35,15,15,15
"Trout River, Municipality of",Community,,2010,Female,270,10,10,15,20,15,10,15,20,25,20,25,25,20,20,10,5,10
"Trout River, Municipality of",Community,,2010,Male,295,20,15,10,25,15,15,15,10,15,30,30,20,25,20,10,10,15
"Trout River, Municipality of",Community,,2010,Total,565,25,25,25,40,35,25,35,30,40,45,50,45,40,40,20,15,25
"Trout River, Municipality of",Community,,2011,Female,280,10,15,15,15,15,15,15,20,20,25,25,20,25,20,10,5,10
"Trout River, Municipality of",Community,,2011,Male,295,15,15,15,20,15,20,10,15,15,25,30,25,25,15,10,15,10
"Trout River, Municipality of",Community,,2011,Total,575,20,25,30,30,35,30,30,40,35,50,45,45,50,40,20,20,25
"Trout River, Municipality of",Community,,2012,Female,275,10,15,15,15,20,10,15,20,15,25,25,20,25,20,10,5,10
"Trout River, Municipality of",Community,,2012,Male,290,15,15,15,15,20,20,15,15,15,25,35,20,30,15,10,15,10
"Trout River, Municipality of",Community,,2012,Total,565,20,30,25,25,40,30,30,35,30,50,55,40,55,40,20,20,20
"Victoria, Municipality of",Community,,2010,Female,915,55,50,50,45,35,35,55,65,70,75,75,85,80,55,40,20,35
"Victoria, Municipality of",Community,,2010,Male,830,45,40,55,50,50,30,45,55,65,75,65,65,70,60,35,20,20
"Victoria, Municipality of",Community,,2010,Total,1745,95,85,105,90,85,60,100,120,140,150,135,150,150,120,70,45,55
"Victoria, Municipality of",Community,,2011,Female,925,50,50,50,45,30,35,50,65,65,80,75,80,85,70,35,20,40
"Victoria, Municipality of",Community,,2011,Male,835,45,40,50,55,40,30,45,55,65,70,70,60,70,70,35,20,25
"Victoria, Municipality of",Community,,2011,Total,1765,90,95,100,100,75,60,95,120,130,150,145,145,150,140,70,40,60
"Victoria, Municipality of",Community,,2012,Female,905,40,50,45,45,30,45,45,70,60,75,70,85,80,75,35,25,30
"Victoria, Municipality of",Community,,2012,Male,840,45,45,45,50,40,35,45,55,50,75,60,70,70,65,40,20,25
"Victoria, Municipality of",Community,,2012,Total,1750,80,95,95,95,75,70,90,125,115,155,130,155,150,140,75,45,55
"Wabush, Municipality of",Community,,2010,Female,880,55,55,55,45,45,65,80,90,65,65,80,70,65,25,15,5,5
"Wabush, Municipality of",Community,,2010,Male,960,65,50,65,45,50,85,80,100,90,55,70,95,60,30,25,5,
"Wabush, Municipality of",Community,,2010,Total,1840,115,100,120,90,95,150,155,185,155,120,140,160,125,60,45,10,5
"Wabush, Municipality of",Community,,2011,Female,900,55,60,55,45,55,70,70,95,80,70,65,65,65,25,15,5,
"Wabush, Municipality of",Community,,2011,Male,960,55,50,65,45,60,85,85,100,90,70,65,80,65,35,20,5,5
"Wabush, Municipality of",Community,,2011,Total,1860,110,110,120,85,120,155,150,190,165,135,125,145,130,65,35,10,10
"Wabush, Municipality of",Community,,2012,Female,940,55,60,60,50,55,75,65,95,90,70,70,60,70,30,20,5,5
"Wabush, Municipality of",Community,,2012,Male,990,70,55,70,40,50,90,80,100,110,75,65,80,55,40,20,10,5
"Wabush, Municipality of",Community,,2012,Total,1930,120,110,135,90,110,170,140,195,195,145,130,135,120,75,35,20,10
Whiteway,Community,,2010,Female,145,5,,5,10,5,5,,10,15,15,10,15,10,5,5,5,20
Whiteway,Community,,2010,Male,135,,10,5,15,10,5,5,5,10,15,15,10,10,10,5,5,5
Whiteway,Community,,2010,Total,280,5,10,15,25,15,15,5,15,25,25,25,30,25,15,15,10,25
Whiteway,Community,,2011,Female,145,,5,5,10,5,,,5,15,15,10,15,15,10,5,5,15
Whiteway,Community,,2011,Male,145,5,5,5,10,10,5,5,5,10,15,15,10,10,10,10,5,10
Whiteway,Community,,2011,Total,295,5,10,15,20,15,10,5,15,20,30,25,30,30,20,20,10,30
Whiteway,Community,,2012,Female,145,5,5,5,10,5,5,5,5,10,15,10,10,10,15,10,5,20
Whiteway,Community,,2012,Male,140,5,5,5,10,10,5,5,5,10,10,15,10,10,15,10,5,10
Whiteway,Community,,2012,Total,290,10,10,10,20,20,15,10,10,20,25,25,25,25,25,15,10,30
"Bird Cove, Municipality of",Community,,2010,Female,80,,5,5,,,5,5,,5,15,15,10,10,,5,,5
"Bird Cove, Municipality of",Community,,2010,Male,85,,,,5,,5,,10,5,10,15,15,5,10,,5,5
"Bird Cove, Municipality of",Community,,2010,Total,170,,5,5,5,5,5,5,10,10,20,35,20,20,5,10,5,10
"Bird Cove, Municipality of",Community,,2011,Female,85,5,5,5,5,,5,5,,5,15,10,10,10,,5,,5
"Bird Cove, Municipality of",Community,,2011,Male,95,5,,5,5,,5,,5,5,5,15,10,10,10,,,5
"Bird Cove, Municipality of",Community,,2011,Total,180,5,5,10,10,5,5,5,10,15,20,30,20,20,5,10,,10
"Bird Cove, Municipality of",Community,,2012,Female,90,,5,5,5,,5,5,5,5,10,15,10,10,5,5,,5
"Bird Cove, Municipality of",Community,,2012,Male,95,5,5,5,5,,5,5,5,5,10,10,15,10,10,5,,5
"Bird Cove, Municipality of",Community,,2012,Total,185,5,10,10,10,5,5,10,10,15,20,30,25,15,10,10,5,5
"Witless Bay, Municipality of",Community,,2010,Female,575,30,35,25,40,35,25,40,45,35,60,50,50,40,15,20,15,15
"Witless Bay, Municipality of",Community,,2010,Male,565,35,20,30,35,50,20,35,35,50,50,55,50,40,25,10,20,10
"Witless Bay, Municipality of",Community,,2010,Total,1135,65,60,60,75,80,40,70,75,80,115,110,100,90,40,30,30,25
"Witless Bay, Municipality of",Community,,2011,Female,595,30,35,35,30,45,30,35,40,35,60,55,55,45,20,20,15,20
"Witless Bay, Municipality of",Community,,2011,Male,585,35,30,25,35,45,25,30,35,45,55,50,55,40,30,10,25,10
"Witless Bay, Municipality of",Community,,2011,Total,1180,65,60,65,65,90,55,65,75,75,115,110,110,90,45,30,40,30
"Witless Bay, Municipality of",Community,,2012,Female,620,35,30,35,30,50,35,40,35,40,50,70,45,45,25,15,25,20
"Witless Bay, Municipality of",Community,,2012,Male,605,30,40,30,35,50,30,35,40,45,55,50,55,40,30,20,15,15
"Witless Bay, Municipality of",Community,,2012,Total,1225,65,65,65,65,95,60,75,75,80,105,120,105,95,50,35,40,40
"Woodstock, Municipality of",Community,,2010,Female,95,5,,5,5,5,5,5,5,10,10,15,10,15,10,,5,5
"Woodstock, Municipality of",Community,,2010,Male,95,,,10,10,,5,,10,10,5,10,10,10,5,10,5,5
"Woodstock, Municipality of",Community,,2010,Total,190,5,,10,15,5,5,5,10,15,15,20,20,20,15,10,5,5
"Woodstock, Municipality of",Community,,2011,Female,95,5,,5,5,5,5,5,5,15,10,15,10,10,10,,5,5
"Woodstock, Municipality of",Community,,2011,Male,95,5,,5,5,,,5,5,10,5,15,10,10,5,5,5,5
"Woodstock, Municipality of",Community,,2011,Total,190,5,5,10,15,5,,5,10,20,15,25,15,20,15,10,5,5
"Woodstock, Municipality of",Community,,2012,Female,100,5,5,5,5,5,5,5,5,15,10,15,10,10,15,5,5,
"Woodstock, Municipality of",Community,,2012,Male,100,,,5,5,5,,5,5,10,5,10,10,10,10,5,5,5
"Woodstock, Municipality of",Community,,2012,Total,200,5,5,10,10,10,5,5,10,20,15,20,20,20,20,10,10,5
"York Harbour, Municipality of",Community,,2010,Female,180,5,10,10,10,10,5,10,15,10,20,20,15,20,10,10,5,10
"York Harbour, Municipality of",Community,,2010,Male,170,10,20,5,5,,5,10,15,5,15,15,15,20,15,10,5,5
"York Harbour, Municipality of",Community,,2010,Total,350,15,25,15,15,15,10,20,30,15,30,35,30,40,20,20,10,10
"York Harbour, Municipality of",Community,,2011,Female,170,5,10,5,10,10,5,10,10,10,15,20,20,20,10,10,5,5
"York Harbour, Municipality of",Community,,2011,Male,175,10,10,10,5,,5,10,10,10,15,15,20,15,20,15,5,5
"York Harbour, Municipality of",Community,,2011,Total,345,15,20,15,15,15,10,20,20,20,25,35,40,30,25,20,10,10
"York Harbour, Municipality of",Community,,2012,Female,175,10,10,10,5,10,5,10,10,10,15,20,15,15,15,10,5,5
"York Harbour, Municipality of",Community,,2012,Male,180,10,10,15,5,,10,10,10,15,10,15,15,20,20,15,5,5
"York Harbour, Municipality of",Community,,2012,Total,355,15,20,25,15,15,10,20,20,25,25,40,35,30,30,20,10,10
Centreville-Wareham-Trinity,Community,,2010,Female,580,20,25,25,20,20,20,30,35,40,50,45,65,75,40,30,25,20
Centreville-Wareham-Trinity,Community,,2010,Male,605,25,35,25,35,15,15,30,25,45,45,55,65,65,40,45,25,15
Centreville-Wareham-Trinity,Community,,2010,Total,1190,40,60,50,55,35,30,55,55,85,95,100,135,145,85,75,50,35
Centreville-Wareham-Trinity,Community,,2011,Female,580,25,25,25,20,15,25,30,30,45,45,45,55,85,50,35,25,20
Centreville-Wareham-Trinity,Community,,2011,Male,580,20,35,20,30,15,15,20,25,35,45,55,55,70,50,45,25,15
Centreville-Wareham-Trinity,Community,,2011,Total,1160,40,60,45,45,35,35,50,55,80,90,100,115,155,100,75,50,35
Centreville-Wareham-Trinity,Community,,2012,Female,580,25,25,30,15,15,30,35,20,35,50,45,55,70,55,35,20,20
Centreville-Wareham-Trinity,Community,,2012,Male,585,20,35,20,35,15,20,20,30,35,45,55,60,70,55,45,20,15
Centreville-Wareham-Trinity,Community,,2012,Total,1170,45,60,50,50,35,40,55,50,75,90,105,120,140,110,75,40,35
Gambo,Community,,2010,Female,1045,35,35,65,75,40,40,50,70,70,65,95,95,90,80,45,50,45
Gambo,Community,,2010,Male,980,30,60,45,70,45,40,55,65,70,70,60,100,100,80,40,30,30
Gambo,Community,,2010,Total,2030,70,90,105,145,90,80,110,135,145,130,155,205,195,155,90,75,75
Gambo,Community,,2011,Female,1010,35,30,60,70,25,40,50,60,70,70,95,90,105,80,40,50,45
Gambo,Community,,2011,Male,970,25,55,45,70,45,40,50,55,70,65,65,95,110,80,50,30,30
Gambo,Community,,2011,Total,1985,60,85,105,140,75,75,105,115,140,135,160,190,215,155,90,75,75
Gambo,Community,,2012,Female,1015,35,30,55,75,40,30,50,50,70,75,80,95,105,80,45,50,55
Gambo,Community,,2012,Male,985,25,50,45,65,50,40,45,60,65,70,70,95,95,90,55,30,40
Gambo,Community,,2012,Total,2000,60,75,100,140,90,70,100,115,135,140,145,195,205,165,100,75,90
Harbour Main-Chapel's Cove-Lakeview,Community,,2010,Female,565,35,25,20,35,35,25,35,35,35,45,50,70,35,15,20,20,35
Harbour Main-Chapel's Cove-Lakeview,Community,,2010,Male,525,25,35,25,30,30,25,20,30,40,60,50,50,45,20,20,15,15
Harbour Main-Chapel's Cove-Lakeview,Community,,2010,Total,1090,60,55,50,65,70,50,60,60,70,105,100,115,80,35,35,35,50
